Feature,Description,Planning_Time_Available,Pre_Contact_Available,Post_Contact_Only,Primary_Model_Allowed,Rationale,Authoritative_Source
age,Client age.,True,True,False,True,Bank-held client attribute.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
job,Client occupation category.,True,True,False,True,Bank-held client attribute; unknown remains a category.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
marital,Client marital status.,True,True,False,True,Bank-held client attribute; divorced includes widowed.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
education,Client education category.,True,True,False,True,Bank-held client attribute; unknown remains a category.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
default,Whether the client has credit in default.,True,True,False,True,Bank-held credit attribute; unknown remains a category.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
housing,Whether the client has a housing loan.,True,True,False,True,Bank-held credit attribute; unknown remains a category.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
loan,Whether the client has a personal loan.,True,True,False,True,Bank-held credit attribute; unknown remains a category.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
contact,Communication channel for the current/last contact.,False,True,False,False,Known for a scheduled contact but not necessarily at campaign-list selection.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
month,Month of the current/last contact.,False,True,False,False,Current-contact timing; operational sensitivity only.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
day_of_week,Weekday of the current/last contact.,False,True,False,False,Current-contact timing; operational sensitivity only.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
duration,Duration of the current/last contact in seconds.,False,False,True,False,UCI explicitly says it is unknown before the call and invalid for realistic targeting.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
campaign,"Contacts during this campaign, including the current/last contact.",False,False,False,False,Raw value includes the focal contact and is temporally misaligned.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
campaign_prior,Derived earlier current-campaign contacts: campaign minus one.,False,True,False,False,UCI definition supports removing the included focal contact; operational sensitivity only.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
pdays,Days since prior-campaign contact; 999 means none.,True,True,False,True,Historical campaign record available before selection.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
previous,Contacts performed before this campaign.,True,True,False,True,Historical campaign record available before selection.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
poutcome,Outcome of the previous marketing campaign.,True,True,False,True,Historical outcome available before selection.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
emp.var.rate,Quarterly employment variation rate.,False,True,False,False,Observable context but a campaign-period proxy; sensitivity only.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
cons.price.idx,Monthly consumer price index.,False,True,False,False,"Release timing, revisions, and period proxying warrant sensitivity-only use.","UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
cons.conf.idx,Monthly consumer confidence index.,False,True,False,False,"Release timing, revisions, and period proxying warrant sensitivity-only use.","UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
euribor3m,Daily three-month Euribor rate.,False,True,False,False,Observable market context but a strong campaign-period proxy; sensitivity only.,"UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
nr.employed,Quarterly number of employees.,False,True,False,False,"Release timing, revisions, and period proxying warrant sensitivity-only use.","UCI bank-additional-names.txt; Moro, Cortez, and Rita (2014)"
